"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"34234","433","Crotal","","British Museum Collections,See catalogue entries","Ireland,County of Offaly,Dowris?,Dowris Hoard?","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped with other index cards from the Dowris Hoard, assumed to be one of the crotal's in the British Museum's Collection","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16803337815","https://farm9.staticflickr.com/8590/16803337815_27d3c71a1a_m.jpg"
"34234","580","Crotal","","B.M. Collections, see catalogue entries","Ireland, County Offaly, Dowris?, Dowris Hoard?","Comté d'Offaly, Co. Offaly, Irlande","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped with other Index Cards from Dowris Hoard, assume to be one of the Crotals in the B.M.'s Collection.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16803337815","https://farm9.staticflickr.com/8590/16803337815_27d3c71a1a_m.jpg"
"34234","896","Crotal","","B.M. Collection - see catalogue entries","? Dowris Hoard","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","? Dowris Hoard","","","Grouped with other index cards from Dowris Hoard, assumed to be one of the Crotals in the B.M.'s collection","Deborah Jackson","https://www.flickr.com/photos/115096994@N02/16803337815","https://farm9.staticflickr.com/8590/16803337815_27d3c71a1a_m.jpg"
"34235","433","Crotal","","British Museum Collections,See catalogue entries","Ireland,County Offaly,Dowris?,Dowris Hoard?","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped together with other index cards from Dowris Hoard, assumed to be one of the crotals in the British Museum collection.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16596064227","https://farm8.staticflickr.com/7592/16596064227_e705525c77_m.jpg"
"34235","580","Crotal","","B.M. Collections,see Catalogue entries","Ireland, County Offaly, Dowris?, Dowris Hoard?","Comté d'Offaly, Co. Offaly, Irlande","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped with other Index Cards from Dowris Hoard, assumed to be one of the Crotals in the B.M. Collection.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16596064227","https://farm8.staticflickr.com/7592/16596064227_e705525c77_m.jpg"
"34235","896","Crotal","","B.M.collection - see catalogue entries","Co Offally Ireland","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Allloy","? Dowris Hoard","","","Grouped with other index cards from Dowris Hoard, assumed to be one of the Crotals in the B.M.'s Collection","Deborah Jackson","https://www.flickr.com/photos/115096994@N02/16596064227","https://farm8.staticflickr.com/7592/16596064227_e705525c77_m.jpg"
"34236","433","Crotal","","British Museum Collections,see Catalogue entries","Ireland,County Offaly,Dowris?,Dowris Hoard?","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped together with other index cards from Dowris Hoard, assumed to be one of the crotals in the British Museum Collection.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16615975740","https://farm8.staticflickr.com/7283/16615975740_5327b53331_m.jpg"
"34236","580","Crotal","","B.M. Collections, See Catalogue entries","Ireland, County Offaly, Dowris?, Dowris Hoard?","Comté d'Offaly, Co. Offaly, Irlande","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped together with other Index Cards from Dowris Hoard, assumed to be one of the Crotals in the B.M. Collection.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16615975740","https://farm8.staticflickr.com/7283/16615975740_5327b53331_m.jpg"
"34236","896","Crotal","","B.M. Collections - see catalogue entries","Co Offally Ireland, Dowris Hoard","Co Offally I","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped with other index cards from the Dowris Hoard, assumed to be one of the Crotals in the B.M's collection","Deborah Jackson","https://www.flickr.com/photos/115096994@N02/16615975740","https://farm8.staticflickr.com/7283/16615975740_5327b53331_m.jpg"
"34237","433","Crotal","","Exeter Museum (No. 321),Presented by Mr. F. W. L. Ross","Ireland,Exact site unknown.,Found in a bog.","Ireland","-8.243889999999965","53.41291","","None","None","None","135","68; 22; (diameter of ring) 45","","445.29","","Original","","","","","Pellet inside which rattles when shaken.","","Found in a bog.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16183431963","https://farm8.staticflickr.com/7643/16183431963_c46ed77b6d_m.jpg"
"34237","580","""Crotal""","","Exeter Museum (No. 321), Presented by Mr. F.W.L. Ross.","Ireland, Exact site unknown., Found in a bag.","Irlande","-8.243889999999965","53.41291","","None","None","None","135","68; 22; (diameter of ring) 45","","445.29","","original.","","","","","Pellet inside which rattles when shaken.","","Found in a bog.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16183431963","https://farm8.staticflickr.com/7643/16183431963_c46ed77b6d_m.jpg"
"34237","896","Crotal","","Exeter Museum (No 321), , Presented by Mr. F. W. L. Ross","","","-7.712222900000029","53.2356871","exact location unknown, found in a bog","None","None","None","135","68","22 (diameter of ring) 45","445.29","Original","","","","Pellet inside that rattles when shared","","","","Found in bog","Deborah Jackson","https://www.flickr.com/photos/115096994@N02/16183431963","https://farm8.staticflickr.com/7643/16183431963_c46ed77b6d_m.jpg"
