"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"39066","817","Leaf shaped sword","B","Bury St. Edmunds Museum.","locality unknown","",,,"","None","None","None","607.5","40","","616.61","(blade) some shiny green. Hilt, olive green shiny patina.","smooth, very pocked towards tip.","7","Width shows ""blade 40.  hilt 45, 43."" Thickness shows ""blade 7  at hilt 6, 7, 40.5"".","","","Hilt is a separate casting fastened by 2 rivets, which a re flush with surface.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17746813208","https://farm8.staticflickr.com/7703/17746813208_cee54d0ee4_m.jpg"
"39067","433","Leaf Shaped Sword","B","Private Collection,1923,Lord Howard de Walden,Belgrave Square, SW","","","8.227511999999933","46.818188","","None","None","None","","","","326.02","Polished patina dark green - patches of various shades.","Smooth. Traces of light brown soil.","","","","","Blade has been mended (about a third of the length from hilt). 4 Rivet holes. Flanges of hilt damaged at A, B, + C.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17314117453","https://farm6.staticflickr.com/5469/17314117453_141b55c4f9_m.jpg"
"39067","580","Leaf shaped Sword","B","Private Collection 1923.,Lord Howard de Walden, Belgrave Square, SW.","","",,,"","None","None","None","","","","216.02","polished patina dark green. patches of various shades.","smooth. traces of light brown soil.","","","","","Blade has been mended. (about a third of the length from the hilt) 4 Rivet holes. Flanges of hilt damaged at A, B & C.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17314117453","https://farm6.staticflickr.com/5469/17314117453_141b55c4f9_m.jpg"
"39067","817","Leaf shaped sword","B","Private,1923,Lord Howard de Walden,Belgrave Square, SW.","","",,,"","None","None","None","","","","326.02","polished dark green -- patches of various shades.","smooth, traces of light brown soil.","","","","","Blade has been mended (about a third of the length from hilt),4 Rivet holes. Flanges of hilt damaged A, B & C.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17314117453","https://farm6.staticflickr.com/5469/17314117453_141b55c4f9_m.jpg"
"39068","433","Sword","","Private Collection,1923,Lord Howard de Walden,Belgrave Square, SW","","","8.227511999999933","46.818188","","None","None","None","425","blade 37, 45.5; hilt 19, 45.5","","244.51","Thick patina light green - a good deal of clay + soil adheres.","Smooth. Slighly corroded at end of blade.","blade 9","","","","Strong rib down blade also a raised circle at hilt end of blade. Flanged round edge of hilt. Flange is crumbled + broken.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17933454382","https://farm6.staticflickr.com/5465/17933454382_4095c8ee3d_m.jpg"
"39068","580","Sword","","Private Collection 1923.,Lord Howard de Walden, Belgrave Square, SW.","","",,,"","None","None","None","425","blade 37; 45.5,hilt 19; 45.5","","244.51","thick patina light green. a good deal of clay & soil adheres.","smooth. slightly corroded at end of blade.","blade 9","","","","Strong rib down blade, also a raised circle at hilt end of blade. Flanged round edge of hilt. Flange is crumbled & broken.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17933454382","https://farm6.staticflickr.com/5465/17933454382_4095c8ee3d_m.jpg"
"39068","817","Sword.","","Private,1923,Lord Howard de Walden,Belgrave Square, SW.","","",,,"","None","None","None","425","37","","244.51","thick light green -- a good deal of clay & soil adheres.","smooth, slightly corroded at end of blade","9","Width shows ""blade 37. 45.5, hilt 19. 45.5"". Thickness shows ""blade 9.""","","","Strong rib down blade also a raised circle at hilt end of blade. Flanged round edge of hilt. Flanges is crumbled & broken.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17933454382","https://farm6.staticflickr.com/5465/17933454382_4095c8ee3d_m.jpg"
"39069","433","Pin","","Mus. London,Brentford Public Library,Layton Collection, 01503","Locality unknown","","8.227511999999933","46.818188","","None","None","None","133","head 3","","","","Smooth golden bronze, with tiny pitting.","head 3; pin about 1","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17316035623","https://farm6.staticflickr.com/5321/17316035623_98f13ca6fe_m.jpg"
"39069","580","Pin","","Mus. London,Brentford Public Library,Layton Collection 01503.","locality unknown","",,,"","None","None","None","133","head 3","","","","smooth golden bronze, with tiny pitting.","head 3; pin about 1","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17316035623","https://farm6.staticflickr.com/5321/17316035623_98f13ca6fe_m.jpg"
"39069","817","Pin","","Mus. London,Brentford Public Library,Layton Colln.,O1503.","","",,,"locality unknown","None","None","None","133","3","","","","smooth golden bronze, with tiny pitting.","3","Width shows ""head 3"". Thickness shows ""head 3.  pin about 1mm"".","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17316035623","https://farm6.staticflickr.com/5321/17316035623_98f13ca6fe_m.jpg"
"39070","433","Pin","","Mus. London,Brentford Public Library,Layton Collection, 01492","Locality unknown","","8.227511999999933","46.818188","","None","None","None","146","head end 3.25","","","","Smooth, corroded in places. Dark golden bronze.","head end 3.5","","","","Pin of round section. Head is missing.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17933468322","https://farm8.staticflickr.com/7692/17933468322_529b1c0d4c_m.jpg"
"39070","580","Pin","","Mus. London,Brentford Public Library,Layton Collection 01492.","locality unknown","",,,"","None","None","None","146","head end 3.25","","","","smooth, corroded in places. Dark golden bronze.","head end 3.5","","","","Pin of round section. Head is missing.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17933468322","https://farm8.staticflickr.com/7692/17933468322_529b1c0d4c_m.jpg"
