"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"41438","677","Sickle","","British Museum, , WG5. 963","Germany, Hunswick, Remelsheineruall Funulus,","Germany","10.451526000000058","51.165691","Germany","None","None","None","","","","","","","","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","Copper Alloy","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/19354891665","https://farm4.staticflickr.com/3736/19354891665_25dae67337_m.jpg"
"41439","433","Sickle","","British Museum,1876.1214.8","Hungary","Hungary","19.50330400000007","47.162494","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19168730209","https://farm1.staticflickr.com/412/19168730209_6cf1b4ef90_m.jpg"
"41439","652","Sickle","","British Museum, , 1876.1214.8","Hungary","Ουγγαρία","19.50330400000007","47.162494","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19168730209","https://farm1.staticflickr.com/412/19168730209_6cf1b4ef90_m.jpg"
"41439","677","Sickle","","British Museum, , 1826.1214.8 , ,","Hungary","Hungary","19.50330400000007","47.162494","Hungary","None","None","None","","","","","","","","Some information does appear to be missing","Copper Alloy","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/19168730209","https://farm1.staticflickr.com/412/19168730209_6cf1b4ef90_m.jpg"
"41440","226","Sickle","","British Museum, 1876.1012.4","Hungary","Hungary","19.50330400000007","47.162494","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19167304668","https://farm1.staticflickr.com/463/19167304668_f1f2666a7b_m.jpg"
"41440","433","Sickle","","British Museum,1876.1012.4","Hungary","Hungary","19.50330400000007","47.162494","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167304668","https://farm1.staticflickr.com/463/19167304668_f1f2666a7b_m.jpg"
"41440","652","Sickle","","British Museum, , 1876.1012.4","Hungary","Ουγγαρία","19.50330400000007","47.162494","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19167304668","https://farm1.staticflickr.com/463/19167304668_f1f2666a7b_m.jpg"
"41441","226","Sickle","","British Museum 1876.1214.8","Hungary","Hungary","19.50330400000007","47.162494","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19167304588","https://farm1.staticflickr.com/475/19167304588_75cb00f380_m.jpg"
"41441","433","Sickle","","British Museum,1876.1214.8","Hungary","Hungary","19.50330400000007","47.162494","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167304588","https://farm1.staticflickr.com/475/19167304588_75cb00f380_m.jpg"
"41441","652","Sickle","","British Museum, , 1876.1214.8","Hungary","Ουγγαρία","19.50330400000007","47.162494","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19167304588","https://farm1.staticflickr.com/475/19167304588_75cb00f380_m.jpg"
"41442","226","Sickle","","British Museum, 1867.1011.8","Hungary","Hungary","19.50330400000007","47.162494","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19358905661","https://farm1.staticflickr.com/376/19358905661_f9091af223_m.jpg"
"41442","433","Sickle","","British Museum,1876.1011.8","?Hungary","Hungary","19.50330400000007","47.162494","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19358905661","https://farm1.staticflickr.com/376/19358905661_f9091af223_m.jpg"
"41442","652","Sickle","","British Museum, , 1867.1011.8","Hungary","Ουγγαρία","19.50330400000007","47.162494","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19358905661","https://farm1.staticflickr.com/376/19358905661_f9091af223_m.jpg"
"41443","433","Sickle","","British Museum,WG 951","Hungary,Szakal","Hungary","19.50330400000007","47.162494","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167264690","https://farm1.staticflickr.com/502/19167264690_354d509192_m.jpg"
"41443","652","Sickle","","British Museum, , WG 951","Hungary","Ουγγαρία","19.50330400000007","47.162494","","None","None","None","","","","","","","","","copper alloy","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19167264690","https://farm1.staticflickr.com/502/19167264690_354d509192_m.jpg"
"41443","677","Sickle","","British Museum, , WG 951","Hungary, Szakar","Hungary",,,"Hungary","None","None","None","","","","","","","","There does appear to be some information missing.","Copper Alloy","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/19167264690","https://farm1.staticflickr.com/502/19167264690_354d509192_m.jpg"
