"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"40514","652","Ring","","Nationalmuseet Copenhangen, , No B 8389","Denmark,, Festy[ ] ke H., Stenloze S.","Δανία","56.26392","9.50178500000004","","None","None","None","","","","approx. 3 gr","","","","","Diameter of wire 1.3, of coil 22.8   Twisted bronge wire","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/18603346152","https://farm1.staticflickr.com/345/18603346152_728598f43c_m.jpg"
"40514","817","Ring","","Nationalmuseet,,Copenhagen.,No. B 8389.","Denmark,Festykke H.,Stenlöse S.","3660 Stenløse, Denmark","55.76861599999999","12.198309999999992","","None","None","None","","","","","","","","Weight shows ""Approx. 3 gr.""","","","Diameter of wire 1.3mm, of Coil 22.5mm.,Twisted bronze wire.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18603346152","https://farm1.staticflickr.com/345/18603346152_728598f43c_m.jpg"
"40515","433","Torque","","Sunderland Museum","Denmark","Denmark","56.26392","9.50178500000004","","None","None","None","","Diameter 150","","112.7","Dark brown patina","Smooth","dia. 8","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18421693379","https://farm9.staticflickr.com/8885/18421693379_28e4a3531d_m.jpg"
"40515","652","[J] orque","","Sunderland Museum","Denmark","Δανία","56.26392","9.50178500000004","","None","None","None","","diameter 150","","122.7","dark brown","smooth","dia. 8","","","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/18421693379","https://farm9.staticflickr.com/8885/18421693379_28e4a3531d_m.jpg"
"40515","817","Torque","","Sunderland Museum.","Denmark","Denmark","56.26392","9.50178500000004","","None","None","None","","150","","112.7","dark brown.","Smooth.","8","Width shows ""Diameter 150mm."" Thickness shows ""dia. 8mm.""","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18421693379","https://farm9.staticflickr.com/8885/18421693379_28e4a3531d_m.jpg"
"40516","433","Ring","","Private Collection,Late Lord Amherst of Hackney, FSA,Sotheby's 17.VI.21, Lot 827","Egypt,City of Akhenaten (Tell el Amarna)","Amarna, Tall Bani Omran, Deir Mawas, Menia Governorate, Egypt","27.661667","30.905555999999933","","None","None","1891","29","23","","1.2","A full green encrusted patina with traces of light earth here and there.","Rough","2.5 x 2","","","","A groove runs along the outside edge from end to end.  This is a little square especially in thickest part as though hammered from wire shape.","","Discovered by Lord Amherst 1891/2.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18420088378","https://farm1.staticflickr.com/527/18420088378_b85e8ee2de_m.jpg"
"40516","543","Ring","","Private,Late Lord Amherst of Hackney F.S.A.,Sotheby's 17.VI.21. lot 827","Egypt,City of Akhenaten (Tell el Amarna)","Qaryet Tal Al Amarna - Kafr Khozam, Deir Mawas, Menia Governorate, Egypt","27.6657506","30.880687500000022","","None","None","None","29","23","","1.2","A dull green encrusted patina with traces of light earth here & there","rough","25,2","","","","A groove runs along the outside edge from end to end. This s a little square especially in thickest part as though hammered from wire shape","","Discovered by Lord Amherst 1891/2","Jane Fellows","https://www.flickr.com/photos/115096994@N02/18420088378","https://farm1.staticflickr.com/527/18420088378_b85e8ee2de_m.jpg"
"40516","817","Ring","","Private,late Lord Amherst of Hackney F.S.A.,Sotheby’s 17.VI.21 Lot 827","Egypt,City of Akhenaten (Tell el Amarna)","Tal Al Amarna, Al Ibrahimeyah Qebli WA Al Hadrah Bahri, Qesm Bab Sharqi, Alexandria Governorate, Egypt","31.2114033","29.92878619999999","","None","2","1891","29","23","","12","a dull encrusted patina with traces of light earth here & there.","rough","2.5","Thickness shows ""2.5mm x 2mm"".","","","A groove runs along the outside edge from end to end. This is a little square especially in thickest part as though hammered from wire shape.","","Discovered by Lord Amherst 1891/2.","JP OConnor","https://www.flickr.com/photos/115096994@N02/18420088378","https://farm1.staticflickr.com/527/18420088378_b85e8ee2de_m.jpg"
"40517","433","Bracelet","","Private Collection,1926,H.C. Beasley, Esq.,Haddon Lodge, Shooters Hill, SE 18,Purchased in Rouen.","France,Eure,Etrepargny,Bois de Bel Air,Longchamps","Longchamps, France","49.360073","1.6238710000000083","","None","None","None","","77 (inside 63)","","155.92","Brown metallic surface, powdered in places with peacock green powder","Slightly bruised and dented.","18","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18607806645","https://farm9.staticflickr.com/8852/18607806645_cb0421f964_m.jpg"
"40517","543","Bracelet","","Private,1926,H.C. Beasley Esq., Haddon Lodge, Shooters Hill,Purch'd in Rouen","France,Eure,Etrepagny,Bois de Bel Air,Longchamps","Bois du Bel-air, 27150 Longchamps, France","49.363856","1.6090320000000702","","None","None","None","","77,inside 63","","155.92","","Slightly bruised & dented brown metallic surface, powdered in places with peacock green powder","18","Not sure where ""surface"" description ends and ""patina"" starts","","","","","","Jane Fellows","https://www.flickr.com/photos/115096994@N02/18607806645","https://farm9.staticflickr.com/8852/18607806645_cb0421f964_m.jpg"
"40517","817","Bracelet","","Private,1926,H.C. Beasley Esq.,Haddon Lodge. Shooters Hill S.E. 18.,Purchd. in Rouen","France,Eure,Etrépargny,Bois de Bel Air,Longchamps","Étrépagny, France","49.305673","1.6117930000000342","","None","None","None","","77","","155.92","brown metallic surface, powdered in places with peacock green powder.","Slightly bruised & dented","18","Width shows ""77  (inside 63)"".","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18607806645","https://farm9.staticflickr.com/8852/18607806645_cb0421f964_m.jpg"
"40518","433","Bracelet","","Private Collection,1926,H. C. Beasley, Esq.,Haddon Lodge, Shooters Hill, SE 18,Purchased in Rouen","France,Eure,Etrepargny,Bois de Bel Air,Longchamps","Longchamps, France","49.360073","1.6238710000000083","","None","None","None","","76 (inside 62)","","134.65","Pale green powdery coat over brown metallic colour.","One side much chipped. Some clay adhering to the inside.","18","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18603250922","https://farm9.staticflickr.com/8896/18603250922_2c1c1358e3_m.jpg"
"40518","543","Bracelet","","Private,1926,H. C. Beasley Esq., Haddon Lodge, Shooters Hill SE 18,Purch'd in Rouen","France,Eure,Etrepagny,Bois de Bel Air,Longchamps","Bois du Bel-air, 27150 Longchamps, France","49.363856","1.6090320000000702","","None","None","None","","76,inside 62","","134.65","pale green powdery coat over metallic colour.","One side much chipped. Some clay adhering to the inside.","18","","","","","","","Jane Fellows","https://www.flickr.com/photos/115096994@N02/18603250922","https://farm9.staticflickr.com/8896/18603250922_2c1c1358e3_m.jpg"
"40518","817","","","Private,1926,H.C. Beasley Esq.,Haddon Lodge. Shooters Hill S.E. 18.,Purchd. in Rouen","France,Eure,Etrépargny,Bois de Bel Air,Longchamps","Étrépagny, France","49.305673","1.6117930000000342","","None","None","None","","76","","134.65","pale green powdery coat over brown metallic colour.","one side much chipped. Some clay adhering to the inside.","18","Width shows ""76.  (inside 62.)""","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18603250922","https://farm9.staticflickr.com/8896/18603250922_2c1c1358e3_m.jpg"
"40519","433","Armlet","","Lukis Museum, Guernsey","France,Brittany,Morbihan","Morbihan, France","47.8852929","-2.900186500000018","","None","None","None","88","77 (inside 59)","","71.84","Green brown, chipped showing bright green.","","","","","","Where broken the metal shows dull red.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18420088760","https://farm1.staticflickr.com/483/18420088760_f52d974595_m.jpg"
"40519","543","Amulet","","Lukis Museum, Guernsey","France,Brittany,Morbihan","Morbihan, France","47.8852929","-2.900186500000018","","None","None","None","88","77,inside 59","","71.84","green brown, chipped showing bright gree","","","","","","Where broken the metal shows dull red","","","Jane Fellows","https://www.flickr.com/photos/115096994@N02/18420088760","https://farm1.staticflickr.com/483/18420088760_f52d974595_m.jpg"
"40519","817","Armlet.","","Lukis Museum.,Guernsey","France,Brittany,Morbihan","Morbihan, France","47.8852929","-2.900186500000018","","None","None","None","88","77","","71.84","green brown, chipped showing light green.","","","Width shows ""77mm (inside 59mm)"".","","","Where broken the metal shows dull red.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18420088760","https://farm1.staticflickr.com/483/18420088760_f52d974595_m.jpg"
"40520","433","Bracelets (2 pieces)","","Formerly M. de la Granciere,Sold at Sotheby's, 23rd July, 1930,Lot 21, No. 90 [21]","France,Brittany,Morbihan,Couedic","Couédic, 56160, France","48.046404","-3.1914239999999836","","None","None","None","","","","See over","","","","","","Hoard comprising: 1 coiled ring, 5 winged celts + 4 fragments of axes, 2 socketed, 4 pieces of sword blades, 1 point, 2 mounts, 3 spear-heads, 1 lump of metal, 21 small fragments, 1[2?] potsherds.","","Bull. Soc. Polym. Morbihan,Refs?","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18581359276","https://farm9.staticflickr.com/8884/18581359276_11f3277c1a_m.jpg"
"40520","543","Bracelets,2 pieces","","Formerly M. de la Granciere,Sold at Sotheby's, 23rd July, 1930. Lot 21. No. 90 [21].","France,Brittany,Morbiham,[...]","Morbihan, France","47.8852929","-2.900186500000018","","None","None","None","","","","","","","","Written on front of card, just above  ""Weight"" heading: ""see over""","","Hoard comprising 1 coiled ring, 5 winged celts & 4 fragments of axes, 2 socketed, 4 pieces of sword blades, 1 point, 2 mounts, 3 spear-heads, 1 lump of metal, 21 small fragments, 17 potsherds","","Bull. Soc. Poly Morbihan","","Jane Fellows","https://www.flickr.com/photos/115096994@N02/18581359276","https://farm9.staticflickr.com/8884/18581359276_11f3277c1a_m.jpg"
"40520","817","Bracelets","","Formerly M. de la Grancière,Sold at Sotheby’s, 23rd July, 1930.,Lot 21.,No. 90 [21].","France,Brittany,Morbihan,Conedic","Morbihan, France","47.8852929","-2.900186500000018","","None","None","None","","","","","","","","Weight shows ""See over.""","","Hoard comprising,1 coiled ring, 5 winged celts & 4 fragments of axes, 2 socketed, 4 pieces of sword blades, 1 point, 2 mounts, 3 spear-heads, 1 lump of metal, 21 small fragments, 12 potsherds.","","Bull. Soc. Polym. Morbihan,Refs?","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18581359276","https://farm9.staticflickr.com/8884/18581359276_11f3277c1a_m.jpg"
