"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"40149","433","Chisel","","Vannes Museum, No. 1540,Label in case: 1540 Gaulois; Environs de Perigueux (Dordogne)","France,Dordogne,Perigueux (neighborhood of)","Périgueux, France","0.721114899999975","45.184029","","None","None","None","","","","","Green","","","","Bronze","","This is less than full size: from a quick sketch.","Vannes Mus. Catalogue (1921) p. 93,Hache a donille ronde et appendices lateraux de Perigueux (Dordogne) Long. O. 140,Don de M. de la  Monneraye","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154661558","https://farm9.staticflickr.com/8837/18154661558_40f9f95c3a_m.jpg"
"40149","658","Chisel","","Vannes Museum,  No. 1540,, , Label in case: 1540 Gaulois,, , Environs de Perigueux (Dordogne)","France,, Dordogne,, Perigueux (neighbourhood of)","",,,"","None","None","None","","","","","green.","","","","bronze","","This is less than full size: from a quick sketch.","Vannes Mus. Catalogue (1921), p. 93.,, , Hache à douille rounde et appendices Latéraux de Perigueux (Dordogne),, , long. O.140  Don de M. de la Monneraye","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18154661558","https://farm9.staticflickr.com/8837/18154661558_40f9f95c3a_m.jpg"
"40149","817","Chisel","","Vannes Museum.,No 1540.,Label in case,1540 Gaulois,Environs de Perigueux (Dordogne)","France,Dordogue.,Perigueux (neighbourhood of).","Périgueux, France","0.721114899999975","45.184029","","None","None","None","","","","","green","","","","bronze.","","","Vannes Mus. Catalogue (1921) p 93.,Hache à douille ronde et appendices Latéraux de Perigueux (Dordogne),long. O. 140.,Dan de M. de La Mouneraye","This is less than full size: from a quick sketch.","JP OConnor","https://www.flickr.com/photos/115096994@N02/18154661558","https://farm9.staticflickr.com/8837/18154661558_40f9f95c3a_m.jpg"
"40150","433","Knife","","Pitt Rivers Museum, Farnham","France,Savoie,Lake of Bourget (label)","Lake Bourget, France","5.869578799999999","45.7296783","","None","None","None","150","blade 15, 22","","56.7","","Smooth, dark","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342518575","https://farm9.staticflickr.com/8889/18342518575_cba6a4b87d_m.jpg"
"40150","658","Knife","","Pitt Rivers Museum, Farnham.","Seen.,, France,, Savoie,, Lake of Bourget; Label","",,,"","None","None","None","150","blade 15, 22","","56.7","","smooth, dark.","","","","","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18342518575","https://farm9.staticflickr.com/8889/18342518575_cba6a4b87d_m.jpg"
"40150","817","Knife","","Pitt Rivers Museum,Farnham.","France,Savoie,Lake of [...]","Savoie, France","6.472399999999993","45.4932045","","None","None","None","150","15","","56.7","","smooth dark.","","Width shows ""blade 15  22"".","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18342518575","https://farm9.staticflickr.com/8889/18342518575_cba6a4b87d_m.jpg"
"40151","433","Curved Socketed Knife","","Musee Miln, Carnac","France,Brittany,Ille-et-Vilaine","Ille-et-Vilaine, France","-1.5300694999999678","48.2292016","","None","None","None","(From rough sketch) 63","","","","","Surface of this and those mentioned below, covered with what looks like dusty rust.","","","","This is a ?piece re-ground for use as a chisel, are from a hoard of 7 from Ile-et-Vilaine (site unknown) all in Carnac Museum. The others are - 1 socketed celt with vestigal wings, another similar, but without signs of wings, + 3 fragments of Class V Spearheads.","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18316067686","https://farm9.staticflickr.com/8821/18316067686_9a510f32d0_m.jpg"
"40151","658","Socketed (Curved) Knife","","Musée Miln., Carnac.","France,, Brittany,, Ile-et-Vilane","",,,"","None","None","None","63 (from rough sketch)","","","","","Surface of this & those mentioned below, covered with what looks like dusty rust.","","","","This & A ?piece of sword re-ground for use as a chisel, are from a hoard of 7 from Ile-et-Vilane (site unknown),all in Carnac Museum. The others are - 1 Socketed Celt with vestigial wings, another similar, but without signs,of wings & 3 fragments of Class V Spearheads.","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18316067686","https://farm9.staticflickr.com/8821/18316067686_9a510f32d0_m.jpg"
"40151","817","Socketed (Curved) Knife","","Musée Miln.,Carnac.","France,Brittany,Ile-et Vilaine","Ille-et-Vilaine, France","-1.5300694999999678","48.2292016","","None","None","None","63","","","","","of this & those mentioned below, covered with what looks like dusty rust.","","","","This & a ? piece of sword re-ground for use as a chisel, are from a hoard of 7 from Ile-et-Vilaine (site unknown), all in Carnac Museum. The others are—1 Socketed Celt with vestigial wings, another similar, but without signs of wings & 3 fragments for Class V Spear heads.","","","from Rough Sketch","JP OConnor","https://www.flickr.com/photos/115096994@N02/18316067686","https://farm9.staticflickr.com/8821/18316067686_9a510f32d0_m.jpg"
"40152","433","Knife","","Private Collection,Mr. Bushnell, Cheltenham","France,exact site unknown","France","2.213749000000007","46.227638","","None","None","None","57","blade 12; socket 15","","18","","","","","Bronze","Founder's Hoard of broken weapons found in France 52. 8 pieces + a hammer.","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156311739","https://farm9.staticflickr.com/8784/18156311739_0434b21674_m.jpg"
"40152","658","Knife","","Private Collection,, , Mr. Bushnell, Cheltenham.","France,exact site unknown.","",,,"","None","None","None","57","blade 12, socket 15","","18","","","","","bronze.","Founder's Hoard of broken weapons found in France 52. 8 pieces & a hammer.","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18156311739","https://farm9.staticflickr.com/8784/18156311739_0434b21674_m.jpg"
"40152","817","Knife","","Private,Mr. Bushnell.,Cheltenham","France.,exact site unknown.","France","2.213749000000007","46.227638","","None","None","None","57","12","","18","","bronze.","","Width shows ""blade 12.  socket 15"".","","Founder's Hoard of broken weapons found in France 52.,8 pieces & a hammer.","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18156311739","https://farm9.staticflickr.com/8784/18156311739_0434b21674_m.jpg"
